date,origin_port,destination_port,transport_mode,product_category,distance_km,weight_mt,fuel_price_index,geopolitical_risk_score,weather_condition,carrier_reliability_score,lead_time_days,disruption
2025-10-29,Busan,Shanghai,Road,Textiles,13116.43,407.5,2.54,5.7,Fog,0.978,14.19,0
2025-12-05,Rotterdam,Hamburg,Road,Automotive,11962.39,7.37,2.44,8.9,Hurricane,0.715,81.77,1
2025-08-12,Busan,Marseille,Rail,Perishables,1092.59,357.95,2.76,2.0,Hurricane,0.985,6.89,1
2024-03-25,Hamburg,Shanghai,Sea,Automotive,2829.85,89.56,2.14,10.0,Storm,0.616,17.08,1
2024-02-23,Singapore,Dubai,Sea,Textiles,11006.68,249.33,1.5,4.6,Hurricane,0.847,150.72,1
2025-08-13,Singapore,Rotterdam,Road,Perishables,1069.34,317.49,3.65,4.4,Storm,0.746,2.6,1
2025-05-01,Shanghai,Antwerp,Sea,Textiles,6456.44,234.43,3.22,5.3,Clear,0.897,11.19,1
2025-10-22,Dubai,Marseille,Rail,Automotive,10270.66,16.22,3.84,4.1,Storm,0.971,25.15,0
2024-06-07,Dubai,Marseille,Air,Pharmaceuticals,867.59,463.53,4.35,1.6,Rain,0.639,0.5,0
2025-02-18,Los Angeles,Shanghai,Rail,Electronics,10786.14,372.56,2.98,6.3,Hurricane,0.718,78.46,1
2025-12-13,Hamburg,Shanghai,Air,Automotive,11253.6,135.63,2.66,1.6,Clear,0.963,0.62,0
2025-10-20,Antwerp,Dubai,Sea,Textiles,11026.71,479.03,3.28,6.7,Fog,0.591,31.39,1
2024-01-28,Hamburg,Los Angeles,Air,Electronics,12016.05,223.92,1.49,1.5,Hurricane,0.594,4.73,1
2024-09-28,Dubai,Hamburg,Road,Perishables,12300.03,246.51,2.25,9.4,Storm,0.743,32.14,1
2024-05-30,Antwerp,Rotterdam,Air,Electronics,2702.59,320.9,1.66,0.3,Hurricane,0.758,0.88,1
2024-08-12,Dubai,Antwerp,Road,Textiles,9604.56,410.81,1.66,2.7,Clear,0.953,6.69,0
2025-03-16,Hamburg,Shanghai,Sea,Electronics,3126.67,334.99,4.19,6.3,Storm,0.772,16.57,1
2024-06-05,Los Angeles,Singapore,Rail,Textiles,5186.44,189.12,1.25,1.1,Storm,0.537,10.98,1
2024-02-23,Los Angeles,Singapore,Rail,Pharmaceuticals,10180.1,462.4,1.8,1.8,Clear,0.753,8.3,0
2025-08-22,Antwerp,Shanghai,Sea,Automotive,6936.83,481.43,2.97,6.7,Hurricane,0.97,103.18,1
2024-03-26,Rotterdam,Dubai,Road,Perishables,8875.66,354.95,2.04,0.9,Hurricane,0.973,44.93,1
2025-10-23,Hamburg,Marseille,Air,Automotive,11653.74,466.32,1.93,0.6,Clear,0.798,0.5,0
2024-10-09,Dubai,Rotterdam,Rail,Pharmaceuticals,7093.73,361.0,1.84,2.9,Storm,0.96,16.69,1
2024-04-26,Singapore,Antwerp,Rail,Pharmaceuticals,4351.2,133.26,3.69,3.0,Rain,0.641,2.86,1
2025-07-22,Hamburg,Singapore,Road,Textiles,11374.43,479.91,2.44,6.6,Hurricane,0.805,72.31,1
2025-11-11,Antwerp,Hamburg,Rail,Automotive,11698.62,68.7,1.73,8.1,Storm,0.959,34.04,1
2025-01-07,Antwerp,Singapore,Air,Electronics,5688.07,110.31,1.25,2.3,Fog,0.801,1.04,1
2025-05-24,Hamburg,Marseille,Sea,Textiles,13660.36,123.75,2.62,3.9,Rain,0.735,26.69,0
2025-08-17,Rotterdam,Shanghai,Road,Electronics,675.57,263.88,2.5,9.0,Hurricane,0.707,5.35,1
2024-08-27,Shanghai,Busan,Sea,Pharmaceuticals,3124.17,169.85,2.0,7.6,Clear,0.92,5.62,0
2025-03-02,Antwerp,Shanghai,Road,Pharmaceuticals,1767.97,8.46,2.63,1.6,Fog,0.57,1.73,0
2025-05-29,Singapore,Busan,Road,Perishables,9190.72,291.92,3.42,8.8,Fog,0.865,12.6,1
2025-07-16,Shanghai,Rotterdam,Sea,Perishables,11803.97,99.9,3.61,4.7,Hurricane,0.739,161.96,1
2025-11-23,Dubai,Los Angeles,Air,Textiles,13349.84,190.3,4.08,4.5,Fog,0.866,1.36,0
2024-07-22,Rotterdam,Shanghai,Sea,Textiles,2356.66,464.35,3.85,1.1,Rain,0.93,3.76,0
2025-07-10,Rotterdam,Antwerp,Air,Automotive,7517.85,433.6,1.85,0.6,Clear,0.842,0.6,0
2025-02-02,Dubai,Antwerp,Road,Electronics,14744.49,17.68,3.75,8.1,Storm,0.576,37.82,1
2024-03-04,Los Angeles,Singapore,Air,Perishables,1663.39,320.58,1.88,2.0,Fog,0.797,0.5,0
2024-02-25,Dubai,Marseille,Road,Pharmaceuticals,9143.19,396.19,1.49,6.3,Fog,0.93,10.75,0
2025-01-18,Hamburg,Los Angeles,Road,Electronics,4263.36,326.48,4.35,7.2,Storm,0.662,9.86,1
2024-10-26,Shanghai,Antwerp,Air,Textiles,3329.91,339.13,2.24,6.9,Fog,0.627,0.5,1
2025-07-25,Dubai,Rotterdam,Air,Pharmaceuticals,9387.62,43.62,3.41,7.4,Clear,0.648,0.5,1
2024-07-22,Busan,Rotterdam,Rail,Textiles,4736.1,476.61,4.2,0.8,Rain,0.663,4.54,1
2024-05-13,Singapore,Busan,Rail,Automotive,7497.72,246.4,2.47,1.6,Storm,0.694,16.84,1
2024-02-02,Rotterdam,Busan,Sea,Electronics,14720.72,107.21,3.73,4.8,Fog,0.976,37.47,1
2024-04-12,Dubai,Los Angeles,Rail,Textiles,4863.97,68.68,2.14,6.7,Storm,0.65,13.48,1
2024-09-07,Hamburg,Antwerp,Rail,Automotive,3137.26,33.96,2.55,7.1,Rain,0.745,4.7,0
2024-09-06,Los Angeles,Busan,Sea,Pharmaceuticals,8614.78,221.9,4.4,0.8,Storm,0.545,37.43,0
2025-10-05,Hamburg,Antwerp,Air,Automotive,1839.23,108.16,3.87,0.9,Fog,0.537,0.5,0
2024-02-23,Shanghai,Rotterdam,Rail,Pharmaceuticals,10761.37,24.44,4.04,4.8,Storm,0.673,27.11,1
2024-05-06,Hamburg,Shanghai,Sea,Pharmaceuticals,14054.54,348.7,2.66,3.2,Storm,0.927,67.28,1
2025-05-17,Rotterdam,Hamburg,Road,Perishables,7344.97,5.3,1.64,4.6,Fog,0.733,7.61,0
2024-04-05,Shanghai,Los Angeles,Air,Pharmaceuticals,11745.15,228.24,4.33,0.8,Fog,0.639,1.16,0
2025-06-27,Dubai,Rotterdam,Road,Textiles,14082.58,269.64,3.27,5.2,Storm,0.658,31.91,1
2025-03-03,Singapore,Shanghai,Rail,Pharmaceuticals,3907.11,106.29,2.89,1.5,Clear,0.91,2.38,0
2025-08-20,Hamburg,Los Angeles,Air,Automotive,6693.06,305.57,3.91,2.7,Storm,0.593,1.46,1
2024-04-07,Los Angeles,Singapore,Rail,Perishables,14462.44,247.92,2.69,6.5,Storm,0.955,40.34,1
2025-04-14,Busan,Shanghai,Rail,Textiles,13627.58,186.12,2.41,4.5,Hurricane,0.756,91.73,1
2024-12-14,Hamburg,Singapore,Air,Electronics,8703.11,438.09,3.75,9.6,Fog,0.787,0.97,1
2024-07-09,Busan,Singapore,Sea,Automotive,11488.77,158.91,3.11,9.4,Hurricane,0.826,187.31,1
2025-08-17,Rotterdam,Busan,Sea,Textiles,7936.68,240.88,2.96,4.0,Rain,0.692,16.27,1
2025-05-15,Hamburg,Busan,Air,Textiles,14283.8,368.5,1.98,8.8,Fog,0.804,1.34,1
2025-07-20,Dubai,Shanghai,Sea,Automotive,10703.65,366.12,1.76,4.4,Hurricane,0.855,145.0,1
2024-02-22,Shanghai,Hamburg,Air,Electronics,9685.43,307.64,3.1,3.3,Fog,0.524,0.74,0
2024-09-14,Los Angeles,Antwerp,Air,Pharmaceuticals,7788.85,449.73,2.91,7.6,Fog,0.614,0.5,1
2024-03-05,Antwerp,Dubai,Sea,Electronics,8669.23,59.32,2.34,6.0,Rain,0.526,18.31,0
2024-02-13,Rotterdam,Hamburg,Air,Textiles,2459.91,178.41,4.26,4.8,Storm,0.948,0.84,1
2025-10-06,Antwerp,Dubai,Rail,Pharmaceuticals,3288.19,331.45,1.5,7.5,Storm,0.983,8.93,0
2025-01-01,Rotterdam,Singapore,Sea,Electronics,7243.03,223.06,4.29,9.5,Clear,0.655,14.58,0
2025-11-06,Antwerp,Dubai,Sea,Perishables,4528.87,397.4,1.34,8.1,Storm,0.538,26.88,1
2024-09-09,Dubai,Los Angeles,Rail,Perishables,3895.95,274.46,4.28,7.2,Storm,0.66,11.21,1
2024-06-01,Dubai,Shanghai,Air,Textiles,9161.03,109.35,2.03,1.7,Storm,0.976,1.43,1
2025-03-18,Busan,Marseille,Road,Automotive,12677.99,377.71,1.6,8.2,Clear,0.926,10.96,0
2025-06-01,Busan,Rotterdam,Sea,Textiles,3778.15,277.16,2.14,3.7,Rain,0.828,6.93,0
2024-09-07,Antwerp,Marseille,Road,Pharmaceuticals,4897.65,21.9,3.26,9.1,Rain,0.793,4.54,1
2025-04-10,Singapore,Dubai,Sea,Textiles,9873.65,112.4,1.44,3.4,Clear,0.623,16.54,0
2025-03-04,Hamburg,Antwerp,Air,Automotive,9568.79,424.67,2.14,7.3,Fog,0.552,1.48,1
2025-05-02,Dubai,Marseille,Road,Textiles,10666.52,341.85,1.95,8.3,Rain,0.789,10.27,1
2025-12-27,Dubai,Busan,Rail,Automotive,3632.55,273.0,4.49,9.7,Rain,0.654,4.81,1
2024-04-27,Shanghai,Marseille,Road,Textiles,8357.56,87.02,1.66,0.0,Storm,0.741,15.03,1
2025-02-11,Antwerp,Busan,Rail,Textiles,10565.18,106.05,2.8,7.6,Hurricane,0.933,81.23,1
2025-11-26,Los Angeles,Dubai,Road,Textiles,12654.34,384.44,1.64,7.0,Hurricane,0.997,80.73,1
2024-09-28,Hamburg,Los Angeles,Road,Electronics,11369.95,105.44,2.81,6.3,Storm,0.861,26.24,1
2024-03-21,Shanghai,Dubai,Air,Textiles,7351.15,71.11,1.91,3.9,Clear,0.944,1.28,1
2024-09-19,Dubai,Los Angeles,Rail,Electronics,11148.3,471.51,3.3,9.7,Rain,0.792,14.05,1
2024-06-12,Los Angeles,Marseille,Road,Automotive,10693.77,40.78,3.34,2.7,Rain,0.589,8.41,0
2024-01-16,Dubai,Antwerp,Sea,Textiles,6400.17,36.2,3.47,1.7,Fog,0.683,14.36,0
2025-07-09,Rotterdam,Antwerp,Sea,Electronics,2380.35,162.62,2.03,5.1,Clear,0.619,4.55,1
2024-06-15,Antwerp,Singapore,Air,Textiles,4899.09,274.26,1.34,4.9,Storm,0.53,0.5,1
2024-01-28,Shanghai,Busan,Road,Electronics,8792.15,149.78,3.01,8.3,Rain,0.903,8.72,1
2025-12-14,Los Angeles,Busan,Air,Perishables,6769.02,86.17,1.73,2.2,Rain,0.774,0.6,0
2025-05-16,Los Angeles,Dubai,Rail,Perishables,3484.7,24.84,1.59,3.2,Fog,0.95,4.0,1
2025-04-04,Dubai,Busan,Road,Automotive,1922.2,82.87,3.07,1.8,Storm,0.763,3.74,1
2024-05-19,Shanghai,Rotterdam,Air,Textiles,9089.91,401.11,4.45,1.1,Rain,0.51,0.5,1
2024-10-07,Shanghai,Los Angeles,Road,Perishables,4843.7,254.44,3.3,1.5,Fog,0.815,4.26,0
2025-08-02,Rotterdam,Busan,Sea,Perishables,10250.68,452.76,4.49,5.3,Hurricane,0.516,144.46,1
2025-10-09,Hamburg,Rotterdam,Sea,Automotive,8777.72,357.36,1.85,5.5,Hurricane,0.647,124.53,1
2025-02-18,Los Angeles,Dubai,Air,Electronics,9791.98,465.03,4.33,9.2,Rain,0.951,1.98,0
2024-09-24,Dubai,Shanghai,Road,Pharmaceuticals,2409.46,66.95,3.24,4.8,Fog,0.797,3.14,1
2025-03-09,Antwerp,Busan,Sea,Electronics,4294.73,20.36,3.36,8.1,Storm,0.882,26.42,1
2025-12-08,Rotterdam,Marseille,Air,Automotive,13449.81,465.29,4.05,8.5,Rain,0.652,1.32,1
2025-03-30,Busan,Antwerp,Sea,Pharmaceuticals,8912.5,385.97,4.12,5.9,Hurricane,0.942,128.79,1
2024-06-07,Los Angeles,Dubai,Air,Electronics,13137.28,78.77,2.08,5.4,Hurricane,0.595,6.58,1
2024-10-10,Shanghai,Busan,Rail,Automotive,10251.52,246.02,2.58,4.8,Storm,0.946,25.71,0
2025-03-14,Rotterdam,Singapore,Air,Perishables,3805.06,456.49,1.44,1.9,Clear,0.803,0.5,0
2025-08-22,Rotterdam,Antwerp,Air,Pharmaceuticals,14116.48,268.31,3.36,6.2,Storm,0.779,2.8,1
2024-07-02,Los Angeles,Antwerp,Sea,Automotive,5996.09,456.38,3.88,4.9,Rain,0.966,13.0,0
2024-11-13,Singapore,Shanghai,Rail,Perishables,1126.02,197.03,1.47,8.1,Fog,0.755,0.85,1
2025-11-02,Singapore,Rotterdam,Road,Automotive,7408.34,373.41,1.6,1.1,Rain,0.831,5.51,1
2024-01-28,Busan,Antwerp,Air,Perishables,9371.87,333.8,1.78,2.7,Rain,0.664,0.5,0
2024-08-23,Shanghai,Dubai,Road,Pharmaceuticals,3035.16,395.28,2.12,7.2,Hurricane,0.965,20.64,1
2025-03-24,Shanghai,Los Angeles,Air,Perishables,14946.85,101.08,1.87,9.4,Rain,0.909,1.59,0
2024-09-13,Hamburg,Rotterdam,Road,Pharmaceuticals,12668.12,353.81,2.66,6.1,Storm,0.758,28.88,1
2024-10-09,Los Angeles,Marseille,Air,Electronics,11068.49,472.1,3.72,2.2,Clear,0.81,0.5,1
2024-08-08,Hamburg,Dubai,Air,Pharmaceuticals,10051.41,202.37,4.01,5.8,Clear,0.911,0.93,1
2024-06-02,Antwerp,Hamburg,Air,Perishables,4645.65,114.15,2.15,9.0,Fog,0.522,0.5,1
2025-07-13,Shanghai,Marseille,Sea,Pharmaceuticals,10272.92,235.91,3.95,2.9,Hurricane,0.502,131.77,1
2024-07-14,Dubai,Singapore,Road,Electronics,8816.17,63.42,1.82,9.2,Clear,0.624,7.39,0
2024-06-21,Dubai,Shanghai,Sea,Textiles,1964.18,213.78,4.03,9.6,Clear,0.546,3.74,0
2024-06-08,Antwerp,Rotterdam,Sea,Textiles,5586.88,42.85,1.78,9.5,Storm,0.689,34.42,1
2025-12-25,Hamburg,Busan,Rail,Pharmaceuticals,6649.89,189.78,4.45,4.3,Rain,0.769,7.32,0
2025-04-13,Rotterdam,Hamburg,Road,Perishables,3962.55,287.41,1.82,1.4,Storm,0.707,7.31,0
2025-10-25,Busan,Los Angeles,Rail,Electronics,762.6,251.93,1.77,1.6,Rain,0.86,0.56,0
2025-09-26,Rotterdam,Hamburg,Road,Automotive,4084.85,105.46,4.23,0.9,Hurricane,0.778,21.2,1
2025-07-23,Rotterdam,Los Angeles,Sea,Electronics,14435.52,9.32,2.16,3.7,Storm,0.999,70.79,0
2024-10-15,Busan,Dubai,Air,Pharmaceuticals,2919.47,13.32,4.3,8.7,Hurricane,0.752,1.68,1
2025-10-16,Busan,Shanghai,Sea,Electronics,9312.41,179.4,2.67,6.5,Rain,0.925,21.4,0
2025-01-16,Busan,Los Angeles,Road,Pharmaceuticals,1213.7,267.48,3.93,1.9,Storm,0.85,2.16,0
2025-01-08,Busan,Los Angeles,Sea,Electronics,10749.43,486.26,4.44,9.3,Storm,0.9,66.01,1
2024-11-29,Rotterdam,Hamburg,Air,Automotive,12160.4,95.28,4.41,3.9,Hurricane,0.702,6.36,1
2024-12-05,Hamburg,Rotterdam,Sea,Textiles,9132.81,400.23,3.09,6.2,Fog,0.876,24.46,1
2025-03-28,Antwerp,Rotterdam,Rail,Perishables,808.41,468.15,1.75,7.6,Rain,0.512,1.32,0
2025-04-22,Los Angeles,Marseille,Air,Electronics,6741.2,22.9,3.05,9.7,Clear,0.692,0.5,1
2024-06-15,Antwerp,Shanghai,Air,Perishables,2204.13,400.27,2.87,1.7,Hurricane,0.762,1.68,1
2025-10-25,Dubai,Antwerp,Sea,Perishables,9097.79,445.03,1.86,9.5,Fog,0.962,29.16,0
2025-12-07,Busan,Singapore,Air,Electronics,12203.76,16.5,4.09,9.7,Fog,0.691,1.96,1
2024-08-23,Singapore,Los Angeles,Sea,Automotive,6786.95,292.79,2.72,0.2,Hurricane,0.73,75.83,1
2025-07-18,Hamburg,Rotterdam,Air,Automotive,13441.59,335.31,3.72,7.5,Hurricane,0.581,7.81,1
2024-03-21,Los Angeles,Singapore,Rail,Textiles,6373.99,184.22,4.39,9.3,Clear,0.618,5.88,0
2025-09-04,Rotterdam,Busan,Rail,Pharmaceuticals,10018.94,79.11,1.53,1.3,Hurricane,0.987,59.3,1
2025-03-22,Antwerp,Busan,Rail,Pharmaceuticals,12082.36,197.7,3.85,7.6,Clear,0.733,10.94,0
2024-04-05,Antwerp,Marseille,Sea,Automotive,7990.3,246.9,2.75,8.8,Hurricane,0.564,128.57,1
2025-04-10,Shanghai,Marseille,Sea,Perishables,10686.84,12.92,3.66,8.2,Fog,0.559,31.23,1
2024-06-03,Dubai,Los Angeles,Rail,Perishables,9235.52,465.47,2.61,7.2,Storm,0.892,25.53,1
2024-03-29,Busan,Shanghai,Road,Electronics,4076.55,193.54,3.59,5.0,Clear,0.879,3.94,1
2025-12-19,Busan,Hamburg,Sea,Pharmaceuticals,9537.82,53.97,3.04,4.7,Hurricane,0.754,130.77,1
2024-04-19,Dubai,Marseille,Road,Pharmaceuticals,14507.69,163.98,3.58,0.2,Fog,0.873,12.75,0
2024-05-27,Busan,Dubai,Air,Automotive,14083.93,479.84,4.02,4.7,Rain,0.743,0.82,1
2024-08-19,Los Angeles,Busan,Road,Textiles,5037.16,366.63,1.8,8.7,Hurricane,0.7,33.58,1
2024-02-22,Rotterdam,Hamburg,Road,Automotive,9661.64,25.6,4.3,6.9,Storm,0.812,23.27,0
2025-06-24,Shanghai,Hamburg,Road,Pharmaceuticals,4412.4,159.31,3.81,2.5,Hurricane,0.745,23.07,1
2025-11-22,Hamburg,Rotterdam,Rail,Textiles,1090.57,472.41,3.8,8.3,Storm,0.674,2.77,1
2024-01-30,Dubai,Marseille,Air,Textiles,8012.12,173.63,3.17,5.7,Rain,0.909,0.5,0
2025-04-17,Antwerp,Shanghai,Road,Pharmaceuticals,14492.89,152.56,1.84,7.6,Rain,0.702,14.38,1
2025-08-01,Los Angeles,Dubai,Road,Pharmaceuticals,9574.97,346.76,2.81,6.2,Clear,0.765,7.44,0
2025-04-08,Busan,Dubai,Rail,Automotive,951.66,331.79,3.62,9.6,Hurricane,0.961,6.6,1
2025-09-06,Los Angeles,Singapore,Sea,Electronics,12811.92,113.22,3.5,2.4,Hurricane,0.808,159.84,1
2025-06-27,Shanghai,Los Angeles,Air,Electronics,10505.07,86.67,1.44,5.7,Rain,0.594,1.26,0
2024-11-09,Dubai,Hamburg,Rail,Automotive,13200.62,45.51,3.64,4.3,Rain,0.723,13.26,1
2024-05-01,Shanghai,Rotterdam,Sea,Pharmaceuticals,13551.21,184.49,3.95,0.2,Fog,0.525,28.68,0
2024-09-03,Los Angeles,Marseille,Air,Automotive,4006.86,138.51,1.65,5.5,Rain,0.52,0.67,0
2024-06-18,Hamburg,Los Angeles,Air,Pharmaceuticals,1219.41,68.83,1.29,9.9,Fog,0.891,0.5,1
2025-02-13,Singapore,Busan,Road,Pharmaceuticals,2249.22,20.86,2.53,2.6,Hurricane,0.696,12.68,1
2025-12-15,Dubai,Rotterdam,Road,Textiles,12360.52,244.99,2.96,8.3,Fog,0.662,15.1,0
2025-02-26,Antwerp,Singapore,Air,Automotive,1292.2,496.05,3.17,9.3,Rain,0.905,0.5,1
2025-09-01,Busan,Rotterdam,Sea,Perishables,2183.05,152.31,3.49,7.0,Fog,0.679,6.83,1
2025-06-26,Hamburg,Rotterdam,Rail,Electronics,11069.62,205.19,1.66,1.7,Clear,0.565,8.08,0
2024-05-21,Antwerp,Dubai,Air,Pharmaceuticals,11199.95,435.08,4.19,3.5,Hurricane,0.728,5.95,1
2025-12-18,Rotterdam,Hamburg,Rail,Electronics,13167.47,137.68,4.28,1.8,Clear,0.818,10.19,0
2025-06-15,Los Angeles,Rotterdam,Air,Automotive,4428.67,405.77,2.98,7.5,Rain,0.679,0.5,1
2024-06-17,Los Angeles,Marseille,Air,Textiles,944.46,143.85,2.53,3.8,Rain,0.766,0.5,1
2025-02-10,Singapore,Marseille,Sea,Perishables,10346.47,252.87,2.96,0.7,Rain,0.712,17.64,0
